dataset,delta,lambda,err
a1a,0.020202020202020204,2.4619207364431706e-5,0.7372264109118071
a1a,0.020202020202020204,2.1412531050454842e-5,0.7375495863261194
a1a,0.020202020202020204,1.8623527524655436e-5,0.737711902623517
a1a,0.020202020202020204,1.6197794489793888e-5,0.7379413156849565
a1a,0.020202020202020204,1.4088015602106073e-5,0.7380712185699679
a1a,0.020202020202020204,1.2253037518795517e-5,0.738250010795697
a1a,0.020202020202020204,1.065706716101069e-5,0.7383639682160804
a1a,0.020202020202020204,9.268973534119771e-6,0.7384706357260211
a1a,0.020202020202020204,8.061680486591295e-6,0.7385665301964665
a1a,0.020202020202020204,7.011638562636032e-6,0.7386606054715291
a1a,0.020202020202020204,6.0983656465690715e-6,0.7387307746838848
a1a,0.020202020202020204,5.304047438702008e-6,0.7387968555178085
a1a,0.020202020202020204,4.613189969648476e-6,0.7388789442569865
a1a,0.020202020202020204,4.012317374988128e-6,0.7389360358252481
a1a,0.020202020202020204,3.489709035081924e-6,0.7389850396029368
a1a,0.020202020202020204,3.035170952688773e-6,0.7390265971238719
a1a,0.020202020202020204,2.6398369088755256e-6,0.7390626898969989
a1a,0.020202020202020204,2.2959955185681026e-6,0.7390945914441268
a1a,0.020202020202020204,1.996939812289506e-6,0.7391232661334686
a1a,0.020202020202020204,1.736836410026543e-6,0.7391491003151839
a1a,0.020202020202020204,1.510611735330836e-6,0.7391723409795764
a1a,0.030303030303030304,1.5106117353308364,0.9987594145948262
a1a,0.030303030303030304,1.3138530501467138,0.9987594145948262
a1a,0.030303030303030304,1.1427223799514368,0.9987594145948262
a1a,0.030303030303030304,0.9938816502317818,0.9987594145948262
a1a,0.030303030303030304,0.8644275740092088,0.9987594145948262
a1a,0.030303030303030304,0.7518350203298194,0.9987594145948262
a1a,0.030303030303030304,0.6539077590649812,0.9987594145948262
a1a,0.030303030303030304,0.5687356212507972,0.9987594145948262
a1a,0.030303030303030304,0.4946572393360863,0.9987594145948262
a1a,0.030303030303030304,0.43022764055022716,0.9987594145948262
a1a,0.030303030303030304,0.3741900612671623,0.9987594145948262
a1a,0.030303030303030304,0.32545143257660164,0.9987594145948262
a1a,0.030303030303030304,0.28306105888402805,0.9987594145948262
a1a,0.030303030303030304,0.246192073644317,0.9987594145948262
a1a,0.030303030303030304,0.21412531050454858,0.9987594145948262
a1a,0.030303030303030304,0.1862352752465543,0.9670928881265101
a1a,0.030303030303030304,0.16197794489793893,0.9266176149868338
a1a,0.030303030303030304,0.14088015602106066,0.8963005490004284
a1a,0.030303030303030304,0.12253037518795522,0.8736285894543695
a1a,0.030303030303030304,0.10657067161010685,0.8401572450021941
a1a,0.030303030303030304,0.09268973534119775,0.8129357340525678
a1a,0.030303030303030304,0.08061680486591302,0.7931831505027248
a1a,0.030303030303030304,0.07011638562636031,0.7787569387682989
a1a,0.030303030303030304,0.06098365646569077,0.7681488689340659
a1a,0.030303030303030304,0.05304047438702008,0.7537517837314608
a1a,0.030303030303030304,0.0461318996964848,0.7379216561722103
a1a,0.030303030303030304,0.04012317374988128,0.725900445326157
a1a,0.030303030303030304,0.034897090350819254,0.7160993580890804
a1a,0.030303030303030304,0.03035170952688772,0.7064069821046745
a1a,0.030303030303030304,0.02639836908875527,0.6981111425404773
a1a,0.030303030303030304,0.022959955185681016,0.6915794479488993
a1a,0.030303030303030304,0.01996939812289507,0.6870721222686126
a1a,0.030303030303030304,0.017368364100265415,0.6820914565558597
a1a,0.030303030303030304,0.015106117353308359,0.6771744775653072
a1a,0.030303030303030304,0.013138530501467134,0.6741621606848613
a1a,0.030303030303030304,0.011427223799514366,0.6722442511112795
a1a,0.030303030303030304,0.009938816502317817,0.6711842300877272
a1a,0.030303030303030304,0.008644275740092088,0.6708660372445547
a1a,0.030303030303030304,0.007518350203298194,0.6712225455585805
a1a,0.030303030303030304,0.006539077590649814,0.6715171638587822
a1a,0.030303030303030304,0.005687356212507973,0.6720233328568328
a1a,0.030303030303030304,0.004946572393360864,0.6726999089246093
a1a,0.030303030303030304,0.004302276405502273,0.6739757717959681
a1a,0.030303030303030304,0.0037419006126716207,0.6757035127413304
a1a,0.030303030303030304,0.003254514325766015,0.6776456741331565
a1a,0.030303030303030304,0.0028306105888402794,0.6793624706126316
a1a,0.030303030303030304,0.0024619207364431693,0.6810890689689082
a1a,0.030303030303030304,0.0021412531050454854,0.6832193059810545
a1a,0.030303030303030304,0.0018623527524655426,0.6856986089673031
a1a,0.030303030303030304,0.0016197794489793893,0.6892900899657239
a1a,0.030303030303030304,0.0014088015602106065,0.6925871464266479
a1a,0.030303030303030304,0.0012253037518795522,0.6956253217578747
a1a,0.030303030303030304,0.0010657067161010684,0.6983502195140405
a1a,0.030303030303030304,0.0009268973534119775,0.7010162768477439
a1a,0.030303030303030304,0.0008061680486591306,0.7038261719677371
a1a,0.030303030303030304,0.0007011638562636034,0.7066438186083911
a1a,0.030303030303030304,0.0006098365646569074,0.7094116885608205
a1a,0.030303030303030304,0.0005304047438702005,0.7120680498652314
a1a,0.030303030303030304,0.0004613189969648478,0.7144458349579628
a1a,0.030303030303030304,0.0004012317374988126,0.7167586819606261
a1a,0.030303030303030304,0.00034897090350819257,0.7190777805575173
a1a,0.030303030303030304,0.0003035170952688775,0.7212913224409379
a1a,0.030303030303030304,0.0002639836908875527,0.7232987793455113
a1a,0.030303030303030304,0.00022959955185681,0.7251418107768968
a1a,0.030303030303030304,0.00019969398122895069,0.726786019273708
a1a,0.030303030303030304,0.00017368364100265406,0.728235170299952
a1a,0.030303030303030304,0.00015106117353308365,0.7295223665319386
a1a,0.030303030303030304,0.0001313853050146713,0.7306503246259796
a1a,0.030303030303030304,0.00011427223799514371,0.7316151316059469
a1a,0.030303030303030304,9.938816502317812e-5,0.7324802200902759
a1a,0.030303030303030304,8.644275740092091e-5,0.7332658514417709
a1a,0.030303030303030304,7.51835020329819e-5,0.7339758166295763
a1a,0.030303030303030304,6.539077590649816e-5,0.7344687869545983
a1a,0.030303030303030304,5.687356212507971e-5,0.7351556870684584
a1a,0.030303030303030304,4.946572393360858e-5,0.7355317542503453
a1a,0.030303030303030304,4.302276405502271e-5,0.7360477964192502
a1a,0.030303030303030304,3.7419006126716195e-5,0.7364450144476601
a1a,0.030303030303030304,3.2545143257660164e-5,0.7368181336343875
a1a,0.030303030303030304,2.830610588840278e-5,0.7370477455856542
a1a,0.030303030303030304,2.4619207364431706e-5,0.737387133842075
