alpha,dataset,delta,lambda,err,support_size
1,covtype.binary,0.9,1.0,0.9999991325387079,0.0
1,covtype.binary,0.9,0.3981071705534973,0.9102977472054026,14.0
1,covtype.binary,0.9,0.15848931924611134,0.8133959164327643,28.0
1,covtype.binary,0.9,0.0630957344480193,0.7474144032272974,38.0
1,covtype.binary,0.9,0.02511886431509579,0.7130342555041278,44.0
1,covtype.binary,0.9,0.009999999999999998,0.7040759088091044,51.0
1,covtype.binary,0.9,0.0039810717055349725,0.7017974702908636,53.0
1,covtype.binary,0.9,0.0015848931924611128,0.7014275328833014,53.0
1,covtype.binary,0.9,0.0006309573444801926,0.701374047153371,53.0
1,covtype.binary,0.9,0.0002511886431509578,0.7013676900136097,54.0
1,covtype.binary,0.9,9.999999999999994e-5,0.7013678200575812,54.0
1,covtype.binary,1.0,1.0,0.9999991325387079,1.0
1,covtype.binary,1.0,0.3981071705534973,0.8613565338632989,25.0
1,covtype.binary,1.0,0.15848931924611134,0.7996247187793619,36.0
1,covtype.binary,1.0,0.0630957344480193,0.7447853398142906,40.0
1,covtype.binary,1.0,0.02511886431509579,0.7125281406266492,44.0
1,covtype.binary,1.0,0.009999999999999998,0.7038898259231432,49.0
1,covtype.binary,1.0,0.0039810717055349725,0.7017737226978179,51.0
1,covtype.binary,1.0,0.0015848931924611128,0.7014249296828807,53.0
1,covtype.binary,1.0,0.0006309573444801926,0.7013739751968856,53.0
1,covtype.binary,1.0,0.0002511886431509578,0.7013693185223157,54.0
1,covtype.binary,1.0,9.999999999999994e-5,0.7013684065661836,54.0
