alpha,dataset,delta,lambda,err,support_size
1,real-sim,0.9,0.09999999999999998,1.001065082414416,2.0
1,real-sim,0.9,0.06309573444801932,1.0028757054958954,3.0
1,real-sim,0.9,0.03981071705534972,1.00428295199538,3.0
1,real-sim,0.9,0.0251188643150958,1.005170062178316,5.0
1,real-sim,0.9,0.015848931924611134,1.0059965378372628,7.0
1,real-sim,0.9,0.01,1.0067335509554558,9.0
1,real-sim,1.0,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,1.0,0.6309573444801931,1.0008922592954668,2.0
1,real-sim,1.0,0.3981071705534972,1.0027081228310717,2.0
1,real-sim,1.0,0.2511886431509579,1.0043396999064633,2.0
1,real-sim,1.0,0.15848931924611132,1.0053321839262033,6.0
1,real-sim,1.0,0.09999999999999998,1.0058287946612416,7.0
1,real-sim,1.0,0.06309573444801932,1.006386163070906,11.0
1,real-sim,1.0,0.03981071705534972,1.0069479732083375,13.0
1,real-sim,1.0,0.0251188643150958,1.0073875167549726,13.0
1,real-sim,1.0,0.015848931924611134,1.0077104916461201,12.0
1,real-sim,1.0,0.01,1.007937060134329,13.0
